count,major_type
1,植物保护(自定)
5,中国语言文学
2,作物学
4,外国语言文学
1,管理科学与工程(自定)
22,化学
2,交通运输工程
1,统计学与运筹学
3,应用经济学(自定)
2,核科学与技术
2,航空宇航科学与技术
1,音乐与舞蹈学(自定)
8,信息与通信工程
3,地球物理学
5,土木工程
5,临床医学
13,计算机科学与技术
2,水产
7,力学
9,环境科学与工程
3,现代语言学
6,地质学
2,农业工程
3,大气科学
3,动力工程及工程热物理
1,生物学(自定)
1,会计与金融
3,电气工程(自定)
5,电子科学与技术
1,马克思主义理论(自定)
1,政治学(自定)
2,兽医学
8,基础医学
1,法学(自定)
2,教育学
2,食品科学与工程
9,控制科学与工程
5,哲学
2,心理学
2,光学工程
6,矿业工程
5,政治学
4,中国史
4,工商管理
3,图书情报与档案管理
2,农业资源与环境
2,中西医结合
2,林业工程
1,艺术与设计
7,物理学
5,化学工程与技术
3,生物医学工程
3,理论经济学
2,公共卫生与预防医学
2,生态学(自定)
2,轻工技术与工程
15,生物学
2,冶金工程
4,风景园林学
9,生态学
4,化学工程与技术(自定)
2,兵器科学与技术
1,畜牧学(自定)
7,统计学
6,药学
2,科学技术史
2,林学
2,水利工程
5,软件工程
2,美术学
3,农林经济管理
2,商业与管理
3,土木工程(自定)
2,作物学(自定)
3,地理学
2,语言学
4,电气工程
8,机械工程
2,仪器科学与技术
3,应用经济学
2,机械工程(自定)
2,船舶与海洋工程
3,戏剧与影视学
2,系统科学
3,材料科学与工程(自定)
14,数学
4,口腔医学
5,法学
2,交通运输工程(自定)
2,农学
1,电子电气工程
1,工程
2,公共管理
1,经济学和计量经济学
2,纺织科学与工程
1,中国语言文学(自定)
3,中医学
3,临床医学(自定)
2,城乡规划学
1,药学(自定)
6,中药学
2,植物保护
27,材料科学与工程
2,社会学
2,草学
2,艺术学理论
2,畜牧学
2,新闻传播学
2,设计学
2,外国语言文学(自定)
2,海洋科学
2,机械及航空航天和制造工程
5,管理科学与工程
2,护理学
3,化学(自定)
2,考古学
1,公安学(自定)
2,体育学
4,地质资源与地质工程
3,世界史
3,建筑学
1,社会政策与管理
2,天文学
2,音乐与舞蹈学
3,安全科学与工程
1,计算机科学与技术(自定)
2,测绘科学与技术
5,马克思主义理论
2,园艺学
3,石油与天然气工程
2,民族学
