排名,学校名称,地区,类别,专业,人气值
1,厦门大学,福建,综合类,开设专业,2359.1万
2,武汉大学,湖北,综合类,开设专业,2014.3万
3,四川大学,四川,综合类,开设专业,1941.4万
4,北京大学,北京,综合类,开设专业,1704.9万
5,中山大学,广东,综合类,开设专业,1660.9万
6,清华大学,北京,综合类,开设专业,1635.5万
7,中南大学,湖南,综合类,开设专业,1483.7万
8,浙江大学,浙江,综合类,开设专业,1463.9万
9,山东大学,山东,综合类,开设专业,1394.7万
10,西南大学,重庆,综合类,开设专业,1363.3万
11,南京大学,江苏,综合类,开设专业,1363.1万
12,西南交通大学,四川,理工类,开设专业,1312.3万
13,上海交通大学,上海,综合类,开设专业,1311.6万
14,苏州大学,江苏,综合类,开设专业,1305.4万
15,郑州大学,河南,综合类,开设专业,1294.1万
16,重庆大学,重庆,综合类,开设专业,1289.6万
17,南华大学,湖南,综合类,开设专业,1269.8万
18,复旦大学,上海,综合类,开设专业,1260.4万
19,吉林大学,吉林,综合类,开设专业,1212.9万
20,青岛大学,山东,综合类,开设专业,1185.5万
21,长安大学,陕西,理工类,开设专业,1176.7万
22,天津大学,天津,理工类,开设专业,1174.5万
23,华南理工大学,广东,理工类,开设专业,1173万
24,华中科技大学,湖北,理工类,开设专业,1151.2万
25,北京邮电大学,北京,理工类,开设专业,1124.6万
26,湖南大学,湖南,综合类,开设专业,1100.7万
27,东南大学,江苏,综合类,开设专业,1095.5万
28,同济大学,上海,理工类,开设专业,1069.6万
29,中国海洋大学,山东,综合类,开设专业,1063.5万
30,中国人民大学,北京,综合类,开设专业,1056.9万
31,海南大学,海南,综合类,开设专业,1046.9万
32,大连理工大学,辽宁,理工类,开设专业,1036.5万
33,青岛理工大学,山东,理工类,开设专业,1034.4万
34,西安交通大学,陕西,综合类,开设专业,1028.7万
35,上海大学,上海,综合类,开设专业,1020.7万
36,武汉理工大学,湖北,理工类,开设专业,1017.1万
37,济南大学,山东,综合类,开设专业,998.9万
38,成都理工大学,四川,理工类,开设专业,998.8万
39,南开大学,天津,综合类,开设专业,993.9万
40,西南财经大学,四川,财经类,开设专业,985.3万
41,北京理工大学,北京,理工类,开设专业,974.8万
42,东北大学,辽宁,理工类,开设专业,972.3万
43,江南大学,江苏,综合类,开设专业,968.8万
44,南昌大学,江西,综合类,开设专业,948万
45,电子科技大学,四川,理工类,开设专业,941.3万
46,烟台大学,山东,综合类,开设专业,923.2万
47,哈尔滨工业大学,黑龙江,理工类,开设专业,921.9万
48,兰州大学,甘肃,综合类,开设专业,901.6万
49,北京师范大学,北京,师范类,开设专业,890.9万
50,中南财经政法大学,湖北,财经类,开设专业,888.1万
51,昆明理工大学,云南,理工类,开设专业,886.5万
52,上海中医药大学,上海,医药类,开设专业,886万
53,上海财经大学,上海,财经类,开设专业,884.2万
54,华东师范大学,上海,师范类,开设专业,880.3万
55,河南大学,河南,综合类,开设专业,866.2万
56,暨南大学,广东,综合类,开设专业,863.4万
57,深圳大学,广东,综合类,开设专业,861.4万
58,河南科技大学,河南,综合类,开设专业,843.9万
59,山东科技大学,山东,理工类,开设专业,828.5万
60,中央财经大学,北京,财经类,开设专业,827.9万
61,北京航空航天大学,北京,理工类,开设专业,805.6万
62,重庆工商大学,重庆,财经类,开设专业,805.5万
63,扬州大学,江苏,综合类,开设专业,796.6万
64,河南理工大学,河南,理工类,开设专业,791.1万
65,山东理工大学,山东,理工类,开设专业,788.8万
66,合肥工业大学,安徽,理工类,开设专业,779.2万
67,天津理工大学,天津,理工类,开设专业,776.8万
68,西北工业大学,陕西,理工类,开设专业,772.9万
69,大连海事大学,辽宁,理工类,开设专业,769.8万
70,河海大学,江苏,理工类,开设专业,765.5万
71,广州大学,广东,综合类,开设专业,763.3万
72,中国传媒大学,北京,艺术类,开设专业,750.8万
73,西安电子科技大学,陕西,理工类,开设专业,750.5万
74,天津科技大学,天津,理工类,开设专业,747.4万
75,青岛科技大学,山东,理工类,开设专业,731万
76,山东建筑大学,山东,理工类,开设专业,728.9万
77,西北大学,陕西,综合类,开设专业,726.3万
78,中国民航大学,天津,理工类,开设专业,724.1万
79,南京理工大学,江苏,理工类,开设专业,722.4万
80,太原理工大学,山西,理工类,开设专业,717.8万
81,重庆理工大学,重庆,理工类,开设专业,717.1万
82,天津商业大学,天津,财经类,开设专业,716.6万
83,华北水利水电大学,河南,理工类,开设专业,713.9万
84,山东财经大学,山东,财经类,开设专业,713.9万
85,华东理工大学,上海,理工类,开设专业,710.1万
86,西北农林科技大学,陕西,农林类,开设专业,708.4万
87,四川师范大学,四川,师范类,开设专业,705.8万
88,集美大学,福建,综合类,开设专业,702.4万
89,河南财经政法大学,河南,财经类,开设专业,699万
90,重庆医科大学,重庆,医药类,开设专业,697.1万
91,云南大学,云南,综合类,开设专业,694.2万
92,南京航空航天大学,江苏,理工类,开设专业,693.4万
93,上海理工大学,上海,理工类,开设专业,692.2万
94,北京交通大学,北京,理工类,开设专业,675.2万
95,华北电力大学,北京,理工类,开设专业,664.3万
96,天津师范大学,天津,师范类,开设专业,659.8万
97,天津财经大学,天津,财经类,开设专业,657.8万
98,西南政法大学,重庆,政法类,开设专业,657.7万
99,大连交通大学,辽宁,理工类,开设专业,657.3万
100,鲁东大学,山东,综合类,开设专业,655.8万
101,华中师范大学,湖北,师范类,开设专业,652.5万
102,北京工业大学,北京,理工类,开设专业,643.8万
103,长沙理工大学,湖南,理工类,开设专业,639.4万
104,东北财经大学,辽宁,财经类,开设专业,636.8万
105,南京师范大学,江苏,师范类,开设专业,634.1万
106,天津工业大学,天津,理工类,开设专业,631.8万
107,江西财经大学,江西,财经类,开设专业,631.5万
108,重庆交通大学,重庆,理工类,开设专业,630万
109,西华大学,四川,综合类,开设专业,627.4万
110,南京财经大学,江苏,财经类,开设专业,626.1万
111,长江大学,湖北,综合类,开设专业,624.7万
112,湘潭大学,湖南,综合类,开设专业,624.3万
113,重庆邮电大学,重庆,理工类,开设专业,623.8万
114,上海师范大学,上海,综合类,开设专业,621.9万
115,安徽大学,安徽,综合类,开设专业,620.4万
116,东华大学,上海,理工类,开设专业,620万
117,北京科技大学,北京,理工类,开设专业,617.4万
118,中国政法大学,北京,政法类,开设专业,611.6万
119,中国石油大学（华东）,山东,理工类,开设专业,609.9万
120,中国农业大学,北京,农林类,开设专业,609.8万
121,对外经济贸易大学,北京,财经类,开设专业,609.1万
122,山东师范大学,山东,师范类,开设专业,606.6万
123,广东工业大学,广东,理工类,开设专业,602.5万
124,辽宁大学,辽宁,综合类,开设专业,599.7万
125,海南热带海洋学院,海南,综合类,开设专业,599.6万
126,聊城大学,山东,综合类,开设专业,598.2万
127,西南科技大学,四川,理工类,开设专业,597.6万
128,大连大学,辽宁,综合类,开设专业,597.2万
129,临沂大学,山东,综合类,开设专业,594.6万
130,北京外国语大学,北京,语言类,开设专业,591.5万
131,西安科技大学,陕西,理工类,开设专业,590.1万
