,学校名称,地区,人气值
0,厦门大学,福建,2359.1
1,武汉大学,湖北,2014.3
2,四川大学,四川,1941.4
3,北京大学,北京,1704.9
4,中山大学,广东,1660.9
5,清华大学,北京,1635.5
6,中南大学,湖南,1483.7
7,浙江大学,浙江,1463.9
8,山东大学,山东,1394.7
9,西南大学,重庆,1363.3
10,南京大学,江苏,1363.1
11,西南交通大学,四川,1312.3
12,上海交通大学,上海,1311.6
13,苏州大学,江苏,1305.4
14,郑州大学,河南,1294.1
15,重庆大学,重庆,1289.6
16,南华大学,湖南,1269.8
17,复旦大学,上海,1260.4
18,吉林大学,吉林,1212.9
19,青岛大学,山东,1185.5
20,长安大学,陕西,1176.7
21,天津大学,天津,1174.5
22,华南理工大学,广东,1173
23,华中科技大学,湖北,1151.2
24,北京邮电大学,北京,1124.6
25,湖南大学,湖南,1100.7
26,东南大学,江苏,1095.5
27,同济大学,上海,1069.6
28,中国海洋大学,山东,1063.5
29,中国人民大学,北京,1056.9
30,海南大学,海南,1046.9
31,大连理工大学,辽宁,1036.5
32,青岛理工大学,山东,1034.4
33,西安交通大学,陕西,1028.7
34,上海大学,上海,1020.7
35,武汉理工大学,湖北,1017.1
36,济南大学,山东,998.9
37,成都理工大学,四川,998.8
38,南开大学,天津,993.9
39,西南财经大学,四川,985.3
40,北京理工大学,北京,974.8
41,东北大学,辽宁,972.3
42,江南大学,江苏,968.8
43,南昌大学,江西,948
44,电子科技大学,四川,941.3
45,烟台大学,山东,923.2
46,哈尔滨工业大学,黑龙江,921.9
47,兰州大学,甘肃,901.6
48,北京师范大学,北京,890.9
49,中南财经政法大学,湖北,888.1
50,昆明理工大学,云南,886.5
51,上海中医药大学,上海,886
52,上海财经大学,上海,884.2
53,华东师范大学,上海,880.3
54,河南大学,河南,866.2
55,暨南大学,广东,863.4
56,深圳大学,广东,861.4
57,河南科技大学,河南,843.9
58,山东科技大学,山东,828.5
59,中央财经大学,北京,827.9
60,北京航空航天大学,北京,805.6
61,重庆工商大学,重庆,805.5
62,扬州大学,江苏,796.6
