,字段1,新字段2,新字段3,新字段4,新字段5,2新字段2,2新字段3,2新字段4,2新字段5
0,能源动力类,4.7,4.9,4.8,4.6,12,13,12,10
1,电气类,4.7,4.4,4.5,4.4,35,35,32,29
2,中国语言文学类,4.6,4.5,4.3,3.9,10,8,9,9
3,戏剧影视导演,4.6,4.3,4.6,3.8,21,20,20,20
4,计算机类,4.5,4.7,4.5,4.9,15,12,13,11
5,舞蹈学,4.4,4.2,4.1,3.9,93,92,91,90
6,测绘工程,4.4,4.2,4.3,4.3,138,125,127,125
7,视觉传达设计,4.4,3.9,4.3,3.7,18,19,19,18
8,播音与主持艺术,4.4,4.1,4.4,4.1,94,94,93,81
9,电气工程及其自动化,4.4,4.2,4.3,4.4,436,418,419,398
10,绘画,4.3,3.8,4.1,3.6,153,153,150,141
11,会计学,4.3,4.1,4.0,4.0,196,189,187,174
12,土建类,4.3,3.5,3.5,4.2,12,10,10,10
13,法学,4.3,4.1,4.1,3.7,260,259,258,250
14,化学类,4.3,4.3,4.3,3.8,18,15,15,15
15,环境设计,4.3,4.3,4.2,4.4,30,30,30,25
16,经济学,4.3,4.0,3.9,4.0,112,107,105,98
17,土木工程,4.3,3.9,3.9,4.2,825,804,801,776
18,给水排水工程,4.3,3.7,3.6,4.5,29,26,26,28
19,城乡规划,4.3,4.1,4.2,4.2,104,102,103,98
20,财政学,4.3,4.1,4.1,4.0,95,93,92,88
21,表演,4.3,4.0,4.3,4.0,78,83,79,71
22,统计学,4.3,4.0,4.1,4.1,99,98,99,97
23,建筑类,4.3,3.8,4.0,4.5,18,18,16,15
24,植物保护,4.2,4.1,4.1,3.6,95,93,91,91
25,金融学,4.2,3.8,3.8,4.0,198,194,194,189
26,自动化,4.2,4.0,4.1,4.1,138,137,140,133
27,建筑环境与设备工程,4.2,3.6,3.7,4.6,37,38,37,37
28,音乐表演,4.2,3.7,4.1,3.5,167,169,166,152
29,财务管理,4.2,3.8,3.8,3.9,231,226,224,213
30,工商管理,4.2,4.0,3.9,4.0,122,122,122,118
31,音乐学,4.2,4.1,4.3,4.1,32,28,28,27
32,建筑学,4.2,3.7,3.8,4.2,131,129,129,123
33,机械设计制造及其自动化,4.2,4.0,4.0,4.2,630,617,608,586
34,材料成型及控制工程,4.1,4.0,4.1,3.9,110,103,102,101
35,数学与应用数学,4.1,4.0,4.0,3.2,80,80,79,79
36,汉语言文学,4.1,3.8,3.8,3.6,216,211,208,203
37,安全工程,4.1,3.9,4.1,4.2,130,129,128,127
38,工商管理类,4.1,3.7,3.8,3.8,39,37,33,28
39,软件工程,4.1,3.8,3.9,3.9,237,228,227,205
40,动物医学,4.1,4.0,4.1,4.0,102,97,96,91
41,工程管理,4.1,3.8,3.8,4.2,205,196,195,193
42,行政管理,4.1,3.8,4.0,3.7,129,126,124,119
43,水利水电工程,4.1,3.8,3.8,4.0,158,156,155,148
44,水产养殖学,4.1,3.4,3.6,3.9,52,52,50,50
45,舞蹈表演,4.1,4.6,4.1,4.5,18,17,18,16
46,通信工程,4.1,4.0,4.0,4.0,179,172,170,162
47,给排水科学与工程,4.0,3.5,3.6,3.8,13,12,11,11
48,勘查技术与工程,4.0,3.8,3.9,3.9,206,203,201,188
49,土地资源管理,4.0,3.5,3.6,3.3,89,87,88,87
50,采矿工程,4.0,4.0,4.0,3.8,287,284,283,271
51,茶学,4.0,3.8,3.9,3.8,35,34,34,30
52,土木类,4.0,4.0,4.2,4.1,20,19,17,16
53,材料类,4.0,3.9,3.9,3.6,44,42,41,37
